"YEAR","CASEID","REGION","FAMINCOME","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","CITIZEN","BPL","EDUCYRS","EMPSTAT","FULLPART","KIDUND18","ACT_CAREHH","ACT_CARENHH","ACT_EDUC","ACT_FOOD","ACT_HHACT","ACT_PCARE","ACT_PHONE","ACT_PROFSERV","ACT_PURCH","ACT_RELIG","ACT_SOCIAL","ACT_SPORTS","ACT_TRAVEL","ACT_VOL","ACT_WORK","BLS_PCARE_SLEEP","Sleep_Time","Time_Use"
2020,20200101201144,3,6,1,1,4677004.469603,76,2,110,3,1,9900,111,5,99,0,0,0,0,30,20,500,0,0,0,0,890,0,0,0,0,480,480,1440
2020,20200101201230,4,15,1,1,7197420.665887,80,1,131,1,1,9900,217,5,99,0,25,0,0,120,25,665,0,0,10,0,480,30,80,5,0,633,633,1440
2020,20200101201268,4,15,1,1,4938866.826578,51,1,100,1,1,9900,216,1,1,0,0,0,0,140,15,445,0,0,0,0,30,0,53,0,757,415,415,1440
2020,20200101201270,1,16,1,1,1.2442457149019E7,53,2,100,1,1,9900,316,1,2,0,0,0,0,20,0,910,0,0,60,0,210,0,70,0,0,845,845,1270
2020,20200101201274,1,9,1,1,5745582.448528,69,1,100,3,1,9900,217,1,2,0,0,155,0,20,155,441,0,0,5,0,360,0,64,0,240,441,441,1440
2020,20200101201310,3,7,1,1,1.2658349812657E7,38,1,100,5,1,9900,111,5,99,0,0,240,0,45,15,750,0,0,0,0,375,0,15,0,0,705,705,1440
2020,20200101201312,4,13,1,1,4772872.140464,68,2,100,3,1,9900,217,5,99,0,0,0,0,20,192,510,40,120,100,0,418,0,40,0,0,450,450,1440
2020,20200101201313,4,9,1,1,1.1683715311156E7,64,1,100,4,1,9900,214,5,99,0,0,0,0,60,0,420,0,0,30,0,820,0,50,0,0,420,420,1380
2020,20200101201337,3,4,1,1,5061068.316643,64,2,110,6,1,9900,112,5,99,0,240,0,0,50,160,590,0,0,0,0,400,0,0,0,0,590,590,1440
2020,20200101201370,3,14,1,1,9609930.442308,48,1,131,5,1,9900,217,1,1,0,0,0,0,80,133,764,0,0,0,0,305,0,98,0,0,738,738,1380
2020,20200101201372,2,11,1,1,2325142.95974,69,2,100,3,1,9900,112,5,99,0,0,0,0,30,170,760,0,0,0,0,480,0,0,0,0,760,760,1440
2020,20200101201380,2,7,1,1,8257331.307331,59,1,100,4,1,9900,110,1,1,0,0,0,0,25,145,521,0,0,0,0,180,0,65,0,504,466,466,1440
